2024-12-25 21:13:48,576 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.25000000000000006, diff=17179869184
2024-12-25 21:13:48,577 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.75, diff=17179869184
2024-12-25 21:13:55,276 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:13:55,297 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.30000000000000004, diff=17179869184
2024-12-25 21:13:55,298 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7, diff=17179869184
2024-12-25 21:14:02,090 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:14:02,091 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.3500000000000001, diff=17179869184
2024-12-25 21:14:02,092 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.6499999999999999, diff=17179869184
2024-12-25 21:14:08,234 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:14:08,256 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.40000000000000013, diff=17179869184
2024-12-25 21:14:08,257 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5999999999999999, diff=17179869184
2024-12-25 21:14:15,369 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:14:15,371 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.45000000000000007, diff=17179869184
2024-12-25 21:14:15,372 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5499999999999999, diff=17179869184
2024-12-25 21:14:21,073 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:14:21,085 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5000000000000001, diff=17179869184
2024-12-25 21:14:21,086 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.4999999999999999, diff=17179869184
2024-12-25 21:15:55,288 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:15:55,292 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.1, diff=17179869184
2024-12-25 21:15:55,293 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.9, diff=17179869184
2024-12-25 21:16:09,775 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:16:09,778 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.15000000000000002, diff=17179869184
2024-12-25 21:16:09,779 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.85, diff=17179869184
2024-12-25 21:16:26,853 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:16:26,875 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.20000000000000004, diff=17179869184
2024-12-25 21:16:26,876 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7999999999999999, diff=17179869184
2024-12-25 21:16:44,615 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:16:44,617 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.25000000000000006, diff=17179869184
2024-12-25 21:16:44,618 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.75, diff=17179869184
2024-12-25 21:17:08,599 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:17:08,620 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.30000000000000004, diff=17179869184
2024-12-25 21:17:08,621 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7, diff=17179869184
2024-12-25 21:17:34,784 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:17:34,786 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.3500000000000001, diff=17179869184
2024-12-25 21:17:34,787 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.6499999999999999, diff=17179869184
2024-12-25 21:18:01,190 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:18:01,192 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.40000000000000013, diff=17179869184
2024-12-25 21:18:01,193 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5999999999999999, diff=17179869184
2024-12-25 21:18:30,814 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:18:30,818 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.45000000000000007, diff=17179869184
2024-12-25 21:18:30,819 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5499999999999999, diff=17179869184
2024-12-25 21:19:02,095 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-25 21:19:02,105 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5000000000000001, diff=17179869184
2024-12-25 21:19:02,106 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.4999999999999999, diff=17179869184
2024-12-25 21:50:53,960 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
