Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./a2c_eth_env_tensorboard/A2C_13
TensorBoard logging active.
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Override, pure_action: [ 0.7200976 -1.       ]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Match, pure_action: [-0.10115763  1.        ]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Adopt 0 blocks, pure_action: [-0.8140508 -1.       ]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Override, pure_action: [1. 1.]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Adopt 0 blocks, pure_action: [-0.5535139   0.46172485]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Adopt 0 blocks, pure_action: [-1.  1.]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Override, pure_action: [ 1.        -0.2823923]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Adopt 0 blocks, pure_action: [-1.        -0.7471158]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Adopt 0 blocks, pure_action: [-0.9392966  -0.11713208]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Match, pure_action: [-0.23679505 -0.67103595]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Adopt 0 blocks, pure_action: [-1.         -0.03340486]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Override, pure_action: [1.         0.34489447]
Current state: {'len_attacker_forking': 0, 'len_honest_forking': 0, 'forking_status': 0, 'advantage': 0, 'special_block': 0, 'uncle': array([0, 0, 0, 0, 0, 0])}, action: Match, pure_action: [-0.0206558 -1.       ]
